"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2015"
"Nederland";"Totale oppervlakte";"ha";"4154303"
"Nederland";"Totaal verkeersterrein";"ha";"115563"
"Nederland";"||Totaal bebouwd terrein";"ha";"361526"
"Nederland";"||Totaal semi-bebouwd terrein";"ha";"49318"
"Nederland";"Bouwterrein";"ha";"34949"
"Nederland";"||Totaal recreatieterrein";"ha";"105418"
"Nederland";"||Totaal agrarisch terrein";"ha";"2236317"
"Nederland";"||Totaal  bos en open natuurlijk terrein";"ha";"498956"
"Nederland";"||Totaal binnenwater";"ha";"371941"
"Nederland";"||Totaal buitenwater";"ha";"415264"
"Groningen (PV)";"Totale oppervlakte";"ha";"295964"
"Groningen (PV)";"Totaal verkeersterrein";"ha";"6467"
"Groningen (PV)";"||Totaal bebouwd terrein";"ha";"16379"
"Groningen (PV)";"||Totaal semi-bebouwd terrein";"ha";"3618"
"Groningen (PV)";"Bouwterrein";"ha";"2191"
"Groningen (PV)";"||Totaal recreatieterrein";"ha";"4009"
"Groningen (PV)";"||Totaal agrarisch terrein";"ha";"187007"
"Groningen (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"14910"
"Groningen (PV)";"||Totaal binnenwater";"ha";"8165"
"Groningen (PV)";"||Totaal buitenwater";"ha";"55409"
"Friesland (PV)";"Totale oppervlakte";"ha";"574877"
"Friesland (PV)";"Totaal verkeersterrein";"ha";"8401"
"Friesland (PV)";"||Totaal bebouwd terrein";"ha";"18011"
"Friesland (PV)";"||Totaal semi-bebouwd terrein";"ha";"2869"
"Friesland (PV)";"Bouwterrein";"ha";"1710"
"Friesland (PV)";"||Totaal recreatieterrein";"ha";"5458"
"Friesland (PV)";"||Totaal agrarisch terrein";"ha";"257646"
"Friesland (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"41177"
"Friesland (PV)";"||Totaal binnenwater";"ha";"66656"
"Friesland (PV)";"||Totaal buitenwater";"ha";"174659"
"Drenthe (PV)";"Totale oppervlakte";"ha";"268043"
"Drenthe (PV)";"Totaal verkeersterrein";"ha";"7044"
"Drenthe (PV)";"||Totaal bebouwd terrein";"ha";"15478"
"Drenthe (PV)";"||Totaal semi-bebouwd terrein";"ha";"1897"
"Drenthe (PV)";"Bouwterrein";"ha";"983"
"Drenthe (PV)";"||Totaal recreatieterrein";"ha";"5648"
"Drenthe (PV)";"||Totaal agrarisch terrein";"ha";"186226"
"Drenthe (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"46975"
"Drenthe (PV)";"||Totaal binnenwater";"ha";"4775"
"Drenthe (PV)";"||Totaal buitenwater";"ha";""
"Overijssel (PV)";"Totale oppervlakte";"ha";"342074"
"Overijssel (PV)";"Totaal verkeersterrein";"ha";"10452"
"Overijssel (PV)";"||Totaal bebouwd terrein";"ha";"26172"
"Overijssel (PV)";"||Totaal semi-bebouwd terrein";"ha";"3486"
"Overijssel (PV)";"Bouwterrein";"ha";"2527"
"Overijssel (PV)";"||Totaal recreatieterrein";"ha";"7346"
"Overijssel (PV)";"||Totaal agrarisch terrein";"ha";"237910"
"Overijssel (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"46534"
"Overijssel (PV)";"||Totaal binnenwater";"ha";"10174"
"Overijssel (PV)";"||Totaal buitenwater";"ha";""
"Flevoland (PV)";"Totale oppervlakte";"ha";"241231"
"Flevoland (PV)";"Totaal verkeersterrein";"ha";"3408"
"Flevoland (PV)";"||Totaal bebouwd terrein";"ha";"8851"
"Flevoland (PV)";"||Totaal semi-bebouwd terrein";"ha";"2561"
"Flevoland (PV)";"Bouwterrein";"ha";"2012"
"Flevoland (PV)";"||Totaal recreatieterrein";"ha";"4758"
"Flevoland (PV)";"||Totaal agrarisch terrein";"ha";"98530"
"Flevoland (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"23056"
"Flevoland (PV)";"||Totaal binnenwater";"ha";"100068"
"Flevoland (PV)";"||Totaal buitenwater";"ha";""
"Gelderland (PV)";"Totale oppervlakte";"ha";"513630"
"Gelderland (PV)";"Totaal verkeersterrein";"ha";"16090"
"Gelderland (PV)";"||Totaal bebouwd terrein";"ha";"47213"
"Gelderland (PV)";"||Totaal semi-bebouwd terrein";"ha";"5289"
