Code,Gemeentena,GM_Code,Shape__Are,Shape__Len,Res_regio,Rescode
1719,Drimmelen,GM1719,119427597.36900000274,59573.14984320000,Regio West Brabant,RES027
0614,Westvoorne,GM0614,97483547.86439999938,45564.81960940000,Regio Rotterdam-Den Haag,RES023
0279,Scherpenzeel,GM0279,13814847.33799999952,18951.98644930000,Regio FoodValley,RES008
1729,Gulpen-Wittem,GM1729,73360503.26759999990,50809.38629030000,Regio Zuid-Limburg,RES030
0160,Hardenberg,GM0160,317150453.34799998999,122606.02830200001,Regio West-Overijssel,RES028
0327,Leusden,GM0327,58893057.22909999639,42851.36327660000,Regio Amersfoort,RES004
1931,Krimpenerwaard,GM1931,161308725.47400000691,71076.87468450000,Regio Midden-Holland,RES015
1701,Westerveld,GM1701,282739159.59799998999,98164.96304590000,Regio Drenthe,RES006
1700,Twenterand,GM1700,108135019.41500000656,72651.41158000000,Regio Twente,RES025
0373,Bergen (NH.),GM0373,120230580.49300000072,55247.91125470000,Regio Noord-Holland Noord,RES018
1525,Teylingen,GM1525,33486977.13320000097,31038.89932520000,Regio Holland Rijnland,RES013
0518,'s-Gravenhage,GM0518,98133569.22800000012,77346.36986890000,Regio Rotterdam-Den Haag,RES023
0180,Staphorst,GM0180,135693600.51899999380,59261.29212520000,Regio West-Overijssel,RES028
0439,Purmerend,GM0439,24559851.26550000161,23693.90436110000,Regio Noord-Holland Zuid,RES016
0277,Rozendaal,GM0277,27919889.37510000169,25185.14140770000,Regio Arnhem-Nijmegen,RES003
1950,Westerwolde,GM1950,280645562.35199999809,103041.81178900000,Regio Groningen,RES012
0523,Hardinxveld-Giessendam,GM0523,19354825.68789999932,25256.37889190000,Regio Drechtsteden,RES005
0358,Aalsmeer,GM0358,32286067.37500000000,32899.13404630000,Regio Noord-Holland Zuid,RES016
1978,Molenlanden,GM1978,191584091.82100000978,88570.37561649999,Regio Alblasserwaard,RES002
0575,Noordwijk,GM0575,74937377.46580000222,40334.54476510000,Regio Holland Rijnland,RES013
0448,Texel,GM0448,463156581.58099997044,106784.56983800000,Regio Noord-Holland Noord,RES018
0289,Wageningen,GM0289,32359864.99469999969,34074.35918360000,Regio FoodValley,RES008
0093,Terschelling,GM0093,673986591.89900004864,104863.21718000001,Regio Friesland,RES009
0383,Castricum,GM0383,60403488.24840000272,45683.79247030000,Regio Noord-Holland Noord,RES018
0088,Schiermonnikoog,GM0088,199065478.68900001049,64611.87306430000,Regio Friesland,RES009
0797,Heusden,GM0797,81219438.96119999886,45677.50218290000,Regio Hart van Brabant,RES011
0866,Waalre,GM0866,22663852.60970000178,21224.78747110000,Metropoolregio Eindhoven,RES017
0361,Alkmaar,GM0361,117346486.04099999368,68715.51687860000,Regio Noord-Holland Noord,RES018
0858,Valkenswaard,GM0858,56501690.47200000286,45192.26012840000,Metropoolregio Eindhoven,RES017
0946,Nederweert,GM0946,101782071.60899999738,49918.67117620000,Regio Noord- en Midden Limburg,RES019
0965,Simpelveld,GM0965,16029947.14829999954,19831.42324530000,Regio Zuid-Limburg,RES030
0431,Oostzaan,GM0431,16075517.10249999911,18805.43552620000,Regio Noord-Holland Zuid,RES016
0014,Groningen,GM0014,197960472.66699999571,98454.01175320000,Regio Groningen,RES012
1970,Noardeast-Fryslân,GM1970,516450590.41500002146,149742.00403000001,Regio Friesland,RES009
1684,Cuijk,GM1684,57068549.11659999937,35402.07167980000,Regio Noord-oost Brabant,RES020
0189,Wierden,GM0189,95388421.31820000708,54645.99978880000,Regio Twente,RES025
1690,De Wolden,GM1690,226345329.35699999332,110797.31625700000,Regio Drenthe,RES006
1942,Gooise Meren,GM1942,75215063.09270000458,61441.14942180000,Regio Noord-Holland Zuid,RES016
0302,Nunspeet,GM0302,129533095.09700000286,55953.07822840000,Regio Noord Veluwe,RES021
